temporada,episodio,nome_frame,cor_1_rgb,proporcao_cor_1,cor_2_rgb,proporcao_cor_2,cor_3_rgb,proporcao_cor_3,cor_4_rgb,proporcao_cor_4,cor_5_rgb,proporcao_cor_5
s01,e01,frame_000000.png,"[0, 0, 0]",1.0,,,,,,,,
s01,e01,frame_000001.png,"[0, 0, 0]",0.9732,"[5, 24, 33]",0.0141,"[156, 235, 235]",0.0048,"[62, 119, 127]",0.0042,"[116, 186, 191]",0.0037
s01,e01,frame_000002.png,"[1, 0, 3]",0.9836,"[14, 16, 18]",0.0102,"[196, 195, 197]",0.0023,"[89, 89, 91]",0.0021,"[155, 155, 157]",0.0018
s01,e01,frame_000003.png,"[1, 0, 3]",0.7614,"[4, 5, 8]",0.1334,"[10, 15, 17]",0.0504,"[19, 29, 33]",0.0357,"[31, 45, 54]",0.0191
s01,e01,frame_000004.png,"[0, 0, 1]",0.543,"[5, 9, 13]",0.1965,"[14, 23, 31]",0.1858,"[26, 43, 53]",0.0674,"[60, 87, 89]",0.0073
s01,e01,frame_000005.png,"[0, 0, 1]",0.586,"[8, 13, 17]",0.1966,"[15, 25, 33]",0.1367,"[27, 43, 51]",0.0656,"[52, 76, 79]",0.0151
s01,e01,frame_000006.png,"[7, 5, 5]",0.4075,"[21, 18, 19]",0.242,"[63, 55, 47]",0.1691,"[34, 32, 33]",0.15,"[91, 87, 98]",0.0314
s01,e01,frame_000007.png,"[5, 3, 3]",0.5122,"[32, 23, 19]",0.1777,"[55, 49, 46]",0.1489,"[85, 74, 63]",0.0991,"[61, 68, 79]",0.0621
s01,e01,frame_000008.png,"[8, 6, 5]",0.5551,"[29, 22, 17]",0.2648,"[60, 49, 41]",0.0881,"[140, 137, 155]",0.0631,"[113, 104, 106]",0.0289
s01,e01,frame_000009.png,"[20, 19, 16]",0.4207,"[6, 5, 4]",0.2182,"[38, 32, 28]",0.1871,"[64, 56, 47]",0.1183,"[88, 84, 74]",0.0557
s01,e01,frame_000010.png,"[21, 21, 19]",0.4537,"[8, 7, 6]",0.1992,"[39, 36, 34]",0.1833,"[63, 55, 48]",0.1102,"[89, 76, 68]",0.0536
s01,e01,frame_000011.png,"[21, 20, 18]",0.3758,"[8, 6, 5]",0.2804,"[37, 36, 34]",0.1497,"[95, 92, 78]",0.1026,"[69, 66, 55]",0.0915
s01,e01,frame_000012.png,"[12, 8, 4]",0.6883,"[28, 23, 17]",0.1273,"[43, 39, 34]",0.1075,"[48, 56, 66]",0.0695,"[137, 92, 49]",0.0074
s01,e01,frame_000013.png,"[23, 16, 14]",0.4247,"[6, 3, 2]",0.3462,"[39, 34, 33]",0.1216,"[55, 52, 53]",0.1054,"[131, 78, 28]",0.0021
s01,e01,frame_000014.png,"[2, 1, 1]",0.338,"[11, 10, 9]",0.1862,"[38, 38, 40]",0.1765,"[29, 30, 32]",0.1577,"[21, 20, 21]",0.1416
s01,e01,frame_000015.png,"[4, 2, 1]",0.6672,"[22, 20, 20]",0.2141,"[49, 43, 37]",0.0613,"[150, 83, 27]",0.0325,"[229, 145, 56]",0.0249
s01,e01,frame_000016.png,"[1, 1, 0]",0.5177,"[9, 9, 10]",0.2272,"[17, 18, 25]",0.1109,"[30, 37, 45]",0.0986,"[50, 60, 73]",0.0456
s01,e01,frame_000017.png,"[18, 14, 11]",0.3643,"[40, 34, 28]",0.2591,"[65, 48, 32]",0.1576,"[67, 60, 56]",0.1497,"[103, 93, 94]",0.0693
s01,e01,frame_000018.png,"[17, 13, 12]",0.3881,"[40, 34, 29]",0.3042,"[63, 55, 48]",0.2204,"[100, 88, 88]",0.0843,"[158, 186, 208]",0.003
s01,e01,frame_000019.png,"[19, 13, 12]",0.4338,"[62, 49, 36]",0.2909,"[86, 73, 65]",0.1972,"[103, 100, 105]",0.0679,"[165, 191, 212]",0.0102
s01,e01,frame_000020.png,"[0, 0, 0]",0.5919,"[14, 14, 10]",0.1927,"[44, 42, 37]",0.0867,"[90, 97, 114]",0.0743,"[64, 67, 77]",0.0544
s01,e01,frame_000021.png,"[0, 0, 0]",0.8407,"[15, 8, 2]",0.0832,"[72, 82, 91]",0.0289,"[32, 32, 26]",0.0264,"[49, 52, 50]",0.0208
s01,e01,frame_000022.png,"[0, 0, 0]",0.8216,"[13, 6, 2]",0.1019,"[76, 86, 95]",0.028,"[32, 32, 26]",0.0276,"[53, 56, 53]",0.0209
s01,e01,frame_000023.png,"[1, 0, 0]",0.6445,"[7, 6, 3]",0.2104,"[39, 40, 46]",0.0599,"[20, 20, 18]",0.0471,"[51, 55, 64]",0.0381
s01,e01,frame_000024.png,"[1, 0, 0]",0.5941,"[10, 7, 5]",0.2001,"[23, 17, 13]",0.1441,"[44, 29, 19]",0.044,"[63, 47, 36]",0.0177
s01,e01,frame_000025.png,"[21, 14, 7]",0.677,"[47, 34, 23]",0.1781,"[82, 61, 47]",0.0897,"[134, 112, 95]",0.0336,"[177, 178, 169]",0.0216
s01,e01,frame_000026.png,"[9, 5, 1]",0.5055,"[36, 21, 10]",0.263,"[67, 44, 28]",0.1464,"[121, 91, 71]",0.0518,"[174, 174, 161]",0.0333
s01,e01,frame_000027.png,"[16, 9, 3]",0.4485,"[69, 50, 36]",0.2428,"[39, 26, 16]",0.1767,"[103, 80, 67]",0.0879,"[167, 162, 150]",0.0441
s01,e01,frame_000028.png,"[4, 2, 1]",0.4783,"[15, 12, 10]",0.4674,"[46, 38, 34]",0.0397,"[108, 92, 90]",0.0099,"[208, 191, 185]",0.0047
